     z,      T,     X
   100,  275.2, 0.000
   110,  302.5, 0.000
   120,  329.7, 0.000
   130,  357.0, 0.000
   140,  384.2, 0.000
   150,  411.5, 0.000
   160,  438.7, 0.000
   170,  466.0, 0.000
   180,  493.2, 0.000
   190,  520.5, 0.000
   200,  547.7, 0.000
   210,  575.0, 0.000
   220,  602.2, 0.000
   230,  629.5, 0.000
   240,  656.7, 0.000
   250,  684.0, 0.000
   260,  711.2, 0.000
   270,  738.5, 0.000
   280,  765.7, 0.000
   290,  793.0, 0.000
   300,  820.2, 0.000
   310,  847.5, 0.000
   320,  874.7, 0.000
   330,  902.0, 0.000
   340,  929.2, 0.000
   350,  956.5, 0.000
   360,  983.7, 0.000
   370, 1011.0, 0.000
   380, 1038.2, 0.000
   390, 1065.5, 0.000
   400, 1092.7, 0.000
   410, 1120.0, 0.000
   420, 1147.2, 0.000
   430, 1174.5, 0.000
   440, 1201.7, 0.000
   450, 1229.0, 0.000
   460, 1256.2, 0.000
   470, 1283.5, 0.000
   480, 1310.7, 0.000
   490, 1338.0, 0.000
   500, 1365.2, 0.000
   510, 1392.5, 0.000
   520, 1419.7, 0.000
   530, 1447.0, 0.000
   540, 1474.2, 0.000
   550, 1501.5, 0.000
   560, 1528.7, 0.000
   570, 1556.0, 0.000
   580, 1583.2, 0.000
   590, 1610.5, 0.000
   600, 1637.7, 0.000
   610, 1665.0, 0.000
   620, 1692.2, 0.000
   630, 1719.5, 0.000
   640, 1746.7, 0.000
   650, 1774.0, 0.000
   660, 1801.2, 0.000
   670, 1828.5, 0.000
   680, 1855.7, 0.000
   690, 1883.0, 0.000
   700, 1910.2, 0.000
   710, 1937.5, 0.000
   720, 1964.7, 0.000
   730, 1992.0, 0.000
   740, 2019.2, 0.000
   750, 2046.5, 0.000
   760, 2073.7, 0.000
   770, 2101.0, 0.000
   780, 2128.2, 0.000
   790, 2155.5, 0.000
   800, 2182.7, 0.000
   810, 2210.0, 0.000
   820, 2237.2, 0.000
   830, 2264.5, 0.000
   840, 2291.7, 0.000
   850, 2319.0, 0.000
   860, 2346.2, 0.000
   870, 2373.5, 0.000
   880, 2400.7, 0.000
   890, 2428.0, 0.000
   900, 2455.2, 0.000
   910, 2482.5, 0.000
   920, 2509.7, 0.000
   930, 2537.0, 0.000
   940, 2564.2, 0.000
   950, 2591.5, 0.000
   960, 2618.7, 0.000
   970, 2646.0, 0.000
   980, 2673.2, 0.000
   990, 2700.5, 0.000
  1000, 2727.7, 0.000
  1010, 2755.0, 0.000
  1020, 2782.2, 0.001
  1030, 2809.5, 0.001
  1040, 2836.7, 0.001
  1050, 2864.0, 0.001
  1060, 2891.2, 0.002
  1070, 2918.5, 0.002
  1080, 2945.7, 0.003
  1090, 2973.0, 0.003
  1100, 3000.2, 0.004
  1110, 3027.5, 0.006
  1120, 3054.7, 0.007
  1130, 3082.0, 0.009
  1140, 3109.2, 0.011
  1150, 3136.5, 0.013
  1160, 3163.7, 0.016
  1170, 3191.0, 0.020
  1180, 3218.2, 0.024
  1190, 3245.5, 0.030
  1200, 3272.7, 0.036
  1210, 3300.0, 0.044
  1220, 3327.2, 0.053
  1230, 3354.5, 0.063
  1240, 3381.7, 0.075
  1250, 3409.0, 0.089
  1260, 3436.2, 0.106
  1270, 3463.5, 0.125
  1280, 3490.7, 0.146
  1290, 3518.0, 0.171
  1300, 3545.2, 0.198
  1310, 3572.5, 0.229
  1320, 3599.7, 0.263
  1330, 3627.0, 0.301
  1340, 3654.2, 0.341
  1350, 3681.5, 0.385
  1360, 3708.7, 0.431
  1370, 3736.0, 0.479
  1380, 3763.2, 0.528
  1390, 3790.5, 0.578
  1400, 3817.7, 0.627
  1410, 3845.0, 0.674
  1420, 3872.2, 0.719
  1430, 3899.5, 0.761
  1440, 3926.7, 0.799
  1450, 3954.0, 0.833
  1460, 3981.2, 0.862
  1470, 4008.5, 0.887
  1480, 4035.7, 0.909
  1490, 4063.0, 0.926
  1500, 4090.2, 0.941
  1510, 4117.5, 0.952
  1520, 4144.7, 0.962
  1530, 4172.0, 0.969
  1540, 4199.2, 0.976
  1550, 4226.5, 0.980
  1560, 4253.7, 0.984
  1570, 4281.0, 0.987
  1580, 4308.2, 0.990
  1590, 4335.5, 0.992
  1600, 4362.7, 0.993
  1610, 4390.0, 0.995
  1620, 4417.2, 0.996
  1630, 4444.5, 0.997
  1640, 4471.7, 0.997
  1650, 4499.0, 0.998
  1660, 4526.2, 0.998
  1670, 4553.5, 0.998
  1680, 4580.7, 0.999
  1690, 4608.0, 0.999
  1700, 4635.2, 0.999
  1710, 4662.5, 0.999
  1720, 4689.7, 0.999
  1730, 4717.0, 1.000
  1740, 4744.2, 1.000
  1750, 4771.5, 1.000
  1760, 4798.7, 1.000
  1770, 4826.0, 1.000
  1780, 4853.2, 1.000
  1790, 4880.5, 1.000
  1800, 4907.7, 1.000
  1810, 4935.0, 1.000
  1820, 4962.2, 1.000
  1830, 4989.5, 1.000
  1840, 5016.7, 1.000
  1850, 5044.0, 1.000
  1860, 5071.2, 1.000
  1870, 5098.5, 1.000
  1880, 5125.7, 1.000
  1890, 5153.0, 1.000
  1900, 5180.2, 1.000
  1910, 5207.5, 1.000
  1920, 5234.7, 1.000
  1930, 5262.0, 1.000
  1940, 5289.2, 1.000
  1950, 5316.5, 1.000
  1960, 5343.7, 1.000
  1970, 5371.0, 1.000
  1980, 5398.2, 1.000
  1990, 5425.5, 1.000
  2000, 5452.7, 1.000
  2010, 5480.0, 1.000
  2020, 5507.2, 1.000
  2030, 5534.5, 1.000
  2040, 5561.7, 1.000
  2050, 5589.0, 1.000
  2060, 5616.2, 1.000
  2070, 5643.5, 1.000
  2080, 5670.7, 1.000
  2090, 5698.0, 1.000
